feature,importance
ABER-CKGL,0.006764597101209933
ABER-CKP,0.08134137121916717
ESTADO-DHSV,1.579790702439073e-16
ESTADO-M1,0.0005529140876198831
ESTADO-PXO,0.006766991112793462
ESTADO-M2,0.00656174631058522
ESTADO-SDV-GL,4.8466302711587215e-05
ESTADO-SDV-P,0.04190570658569775
ESTADO-W1,0.26326989020451225
ESTADO-W2,3.4454712749901444e-16
P-ANULAR,0.06870913443635565
ESTADO-XO,0.004871441833511103
P-JUS-CKGL,0.14527355741730547
P-MON-CKP,0.03585268065389608
P-JUS-CKP,0.07507945160125823
P-MON-CKGL,0.00027182264526592697
P-PDG,2.1739405846442845e-07
P-TPT,0.020677817032277463
QGL,0.03635449076663626
T-JUS-CKP,0.0
T-MON-CKP,0.15557320713041048
T-PDG,0.0
T-TPT,0.050124496164727105
